Date,Not indexed,Indexed,Impressions
2026-01-17,,,1300
2026-01-18,,,1354
2026-01-19,1837,249,1313
2026-01-20,1835,249,1355
2026-01-21,1835,249,1312
2026-01-22,1835,249,1401
2026-01-23,1835,249,1294
2026-01-24,1852,249,1357
2026-01-25,1852,249,1607
2026-01-26,1852,249,1498
2026-01-27,1895,249,1441
2026-01-28,1895,249,2104
2026-01-29,1895,249,1869
2026-01-30,1895,249,1714
2026-01-31,1893,251,2604
2026-02-01,1893,251,2267
2026-02-02,1893,251,1725
2026-02-03,1883,251,1495
2026-02-04,1883,251,1515
2026-02-05,1883,251,1367
2026-02-06,1883,251,1638
2026-02-07,1880,250,1448
2026-02-08,1880,250,1576
2026-02-09,1880,250,1580
2026-02-10,1876,249,1525
2026-02-11,1876,249,1384
2026-02-12,1876,249,1287
2026-02-13,1876,249,1409
2026-02-14,1877,249,1286
2026-02-15,1877,249,1229
2026-02-16,1877,249,1444
2026-02-17,1873,250,1887
2026-02-18,1873,250,1787
2026-02-19,1873,250,1678
2026-02-20,1873,250,1495
2026-02-21,1893,249,1507
2026-02-22,1893,249,1396
2026-02-23,1893,249,1459
2026-02-24,1881,250,1477
2026-02-25,1881,250,1409
2026-02-26,1881,250,1402
2026-02-27,1881,250,1324
2026-02-28,1881,250,1419
2026-03-01,1881,250,2063
2026-03-02,1881,250,1777
2026-03-03,1845,252,1514
2026-03-04,1845,252,2351
2026-03-05,1845,252,2027
2026-03-06,1845,252,2097
2026-03-07,1821,251,2251
2026-03-08,1821,251,1881
2026-03-09,1821,251,1617
2026-03-10,1788,251,1439
2026-03-11,1788,251,1402
2026-03-12,1788,251,1284
2026-03-13,1788,251,1280
2026-03-14,1788,251,1238
2026-03-15,1776,249,1397
2026-03-16,1776,249,1404
2026-03-17,1729,249,1423
2026-03-18,1729,249,1222
2026-03-19,1729,249,1263
2026-03-20,1729,249,1177
2026-03-21,1706,248,1322
2026-03-22,1706,248,1351
2026-03-23,1706,248,1431
2026-03-24,1660,250,1582
2026-03-25,1660,250,1784
2026-03-26,1660,250,1652
2026-03-27,1660,250,2097
2026-03-28,1656,251,3089
2026-03-29,1656,251,4198
2026-03-30,1656,251,4466
2026-03-31,1613,251,1717
2026-04-01,1613,251,1398
2026-04-02,1613,251,1484
2026-04-03,1613,251,1451
2026-04-04,1545,251,1745
2026-04-05,1545,251,1341
2026-04-06,1486,252,1376
2026-04-07,1486,252,1407
2026-04-08,1486,252,1753
2026-04-09,1486,252,1299
2026-04-10,1448,252,1189
2026-04-11,1448,252,1016
2026-04-12,1448,252,1161